architecture,split,variant,description,method,mode,label_usage,selection_usage,final_training,alignment_strength,centroid_strength,algorithm_provenance,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,domain_accuracy,domain_accuracy_std,domain_accuracy_min,domain_accuracy_max,domain_balanced_accuracy,domain_balanced_accuracy_std,domain_balanced_accuracy_min,domain_balanced_accuracy_max,domain_source_recall,domain_source_recall_std,domain_source_recall_min,domain_source_recall_max,domain_target_recall,domain_target_recall_std,domain_target_recall_min,domain_target_recall_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
one-layer,S1_train_I_test_all,MLP Source-only,Train Period I only; no validation; test every current later-day sample.,source-only,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.00843286771664568,0.7875457875457875,0.8095238095238095,0.8003858024691357,0.007758478168592236,0.7889660493827161,0.809156378600823,0.8016804358133534,0.008334417957668627,0.7899568348301451,0.8105542019569169,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0
one-layer,S1_train_I_test_all,DANN-UDA,Train Period I only; no validation; test every current later-day sample.,dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8102564102564104,0.028772654778982363,0.7692307692307693,0.8461538461538461,0.8098508230452677,0.02705566941726605,0.7716049382716049,0.8438786008230452,0.8128811410043959,0.027881916629156508,0.7765921420872296,0.849226799690376,0.9042904290429042,0.006600660066006583,0.8943894389438944,0.9108910891089109,0.5463369963369964,0.020284657953254577,0.5148351648351649,0.5648351648351648,0.1,0.040824829046386304,0.03333333333333333,0.13333333333333333,0.9926739926739927,0.006344508452633276,0.9816849816849816,0.9963369963369964,400.0,0.0,400.0,400.0
one-layer,S1_train_I_test_all,DEEP-CORAL-UDA,Train Period I only; no validation; test every current later-day sample.,deep-coral,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8351648351648351,0.026286996509903522,0.8095238095238095,0.8681318681318682,0.8325617283950617,0.02532848629401509,0.807227366255144,0.8640689300411522,0.8358779854006635,0.0262407459960044,0.8117908570594681,0.8691554694811702,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0
one-layer,S1_train_I_test_all,MK-MMD-UDA,Train Period I only; no validation; test every current later-day sample.,mk-mmd,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8659340659340661,0.00955194491604785,0.8498168498168498,0.8754578754578755,0.863014403292181,0.009182765160081046,0.8473508230452675,0.871656378600823,0.8676808175773745,0.009553371270313776,0.8516136504689725,0.8773205023205023,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0
one-layer,S2_train_I_internal_val_test_all,MLP Source-only,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,source-only,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",0.9066666666666666,0.06411794687223779,0.8333333333333334,1.0,0.9222222222222222,0.05343162239353149,0.8611111111111112,1.0,0.9009964318148462,0.06872512373198443,0.8240387063916476,1.0,0.7069597069597069,0.05791717326315715,0.6556776556776557,0.7985347985347986,0.7146347736625513,0.05435191733282969,0.6667952674897119,0.7993827160493828,0.7044574216082968,0.06202878290914002,0.6434222736162862,0.800699654116315,,,,,,,,,,,,,,,,,28.0,29.49576240750525,10.0,80.0
one-layer,S2_train_I_internal_val_test_all,DANN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.2,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",0.9266666666666667,0.07601169500660918,0.8333333333333334,1.0,0.9388888888888889,0.06334307917217433,0.8611111111111112,1.0,0.9221364029548174,0.0812633756310693,0.8240387063916476,1.0,0.7318681318681318,0.05367269162071874,0.6703296703296703,0.7912087912087912,0.7377314814814814,0.04825073061079071,0.6804269547325102,0.7917952674897119,0.7321563574683305,0.05950356278279815,0.6642698532110759,0.7954612113710141,0.9161073825503354,0.004745683095211722,0.9093959731543624,0.9228187919463087,0.5109010989010989,0.017437313329403955,0.5,0.54,0.024,0.03577708763999664,0.0,0.08,0.9978021978021978,0.004914435115384135,0.989010989010989,1.0,108.0,158.96540504147436,10.0,380.0
one-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,deep-coral,uda,source train + source validation labels,source validation labels,source train+source validation refit,1.0,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",0.9466666666666667,0.07673909622147557,0.8333333333333334,1.0,0.9555555555555555,0.06394924685122964,0.8611111111111112,1.0,0.9436677701383583,0.081037392198557,0.8240387063916476,1.0,0.8021978021978022,0.08953777700791439,0.6776556776556777,0.8717948717948718,0.8032407407407407,0.08434096517356338,0.6873713991769548,0.8681841563786007,0.7991436990046539,0.09519275067277033,0.6637743892625487,0.8717919172409756,,,,,,,,,,,,,,,,,86.0,106.44247272588137,10.0,270.0
one-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,mk-mmd,uda,source train + source validation labels,source validation labels,source train+source validation refit,1.0,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8901098901098902,0.0036630036630037055,0.8864468864468864,0.8937728937728938,0.8850308641975309,0.0036690696033145702,0.8807870370370371,0.8890174897119342,0.8902510608680638,0.003924514461676008,0.8855203664098282,0.8942562280590449,,,,,,,,,,,,,,,,,194.0,51.28352561983234,150.0,280.0
one-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,source-only,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",0.8400000000000001,0.036514837167011066,0.8,0.9,0.8666666666666666,0.0304290309725092,0.8333333333333334,0.9166666666666666,0.8313037942449707,0.037774743460647985,0.791919191919192,0.8943001443001443,0.6608058608058608,0.012582830796569713,0.6483516483516484,0.6776556776556777,0.6722993827160495,0.01388394640377483,0.6598508230452674,0.6912294238683128,0.6568566519430646,0.008882332850752605,0.6450056853755108,0.6650768116739079,,,,,,,,,,,,,,,,,12.0,4.47213595499958,10.0,20.0
one-layer,S3_train_I_internal_20_10_test_all,DANN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.05,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",0.8266666666666668,0.04944132324730441,0.7666666666666667,0.9,0.85,0.05046083923495818,0.7777777777777778,0.9166666666666666,0.8173624074135584,0.05182661980619802,0.7526001705029838,0.8943001443001443,0.6644688644688644,0.013105160307691077,0.6446886446886447,0.6776556776556777,0.6761574074074074,0.014296513646323008,0.656764403292181,0.6925154320987654,0.6602742197480869,0.01189288634321239,0.6419337545039144,0.6737647938756655,0.9317406143344711,1.2412670766236366e-16,0.931740614334471,0.931740614334471,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,4.47213595499958,10.0,20.0
