architecture,split,variant,description,method,mode,label_usage,selection_usage,final_training,alignment_strength,centroid_strength,algorithm_provenance,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,domain_accuracy,domain_accuracy_std,domain_accuracy_min,domain_accuracy_max,domain_balanced_accuracy,domain_balanced_accuracy_std,domain_balanced_accuracy_min,domain_balanced_accuracy_max,domain_source_recall,domain_source_recall_std,domain_source_recall_min,domain_source_recall_max,domain_target_recall,domain_target_recall_std,domain_target_recall_min,domain_target_recall_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
two-layer,S1_train_I_test_all,C-DANN-UDA,Train Period I only; no validation; test every current later-day sample.,c-dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.2,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8945054945054945,0.011110440211064556,0.8827838827838828,0.9120879120879121,0.890997942386831,0.010956986343612932,0.8792438271604938,0.9083076131687243,0.8952274071673901,0.010546012304117638,0.8847200028408082,0.9119451835856803,0.9009900990099011,1.2412670766236366e-16,0.900990099009901,0.900990099009901,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,400.0,0.0,400.0,400.0
two-layer,S1_train_I_test_all,CDAN-UDA,Train Period I only; no validation; test every current later-day sample.,cdan,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.0,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)","0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.764102564102564,0.06395063104115807,0.6959706959706959,0.8388278388278388,0.7677726337448559,0.06112094211307129,0.7021604938271605,0.8401491769547325,0.7685072004617388,0.06248643807950192,0.7027274197186174,0.8410583494734967,0.9023102310231023,0.005005198312905326,0.8976897689768977,0.9108910891089109,0.5155677655677655,0.02330185742510834,0.4981684981684982,0.55,0.03333333333333334,0.047140452079103175,0.0,0.1,0.9978021978021978,0.003276290076922757,0.9926739926739927,1.0,400.0,0.0,400.0,400.0
two-layer,S1_train_I_test_all,CDAN+C-DANN-UDA,Train Period I only; no validation; test every current later-day sample.,cdan+c-dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.2,existing run_cdan_hybrid_report.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8893772893772894,0.011981997973477026,0.8754578754578755,0.9010989010989011,0.8854938271604939,0.012405347597209982,0.8703703703703703,0.8978909465020576,0.8899009809874867,0.011861012745159705,0.8767894992741474,0.9017383928056226,0.9009900990099011,1.2412670766236366e-16,0.900990099009901,0.900990099009901,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,400.0,0.0,400.0,400.0
two-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.2,0.2,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",0.96,0.08944271909999157,0.8,1.0,0.9666666666666668,0.07453559924999298,0.8333333333333334,1.0,0.959090909090909,0.09147550817044596,0.7954545454545454,1.0,0.8241758241758241,0.07687945736928703,0.6959706959706959,0.8901098901098901,0.8248456790123457,0.07016668794363025,0.7079475308641975,0.8855452674897121,0.8266766530648745,0.0755195257526032,0.7006373859919052,0.8916517419373194,0.9161073825503354,1.2412670766236366e-16,0.9161073825503355,0.9161073825503355,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,180.0,152.31546211727817,10.0,350.0
two-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,cdan,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.05,0.0,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)","0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7648351648351648,0.04329478188158941,0.6996336996336996,0.8205128205128205,0.7673096707818929,0.042703471318149624,0.7017746913580246,0.820216049382716,0.7676516994592395,0.04313382775816516,0.7020578960463353,0.8221410958794594,0.919463087248322,0.0053058350002825085,0.912751677852349,0.9261744966442953,0.5309010989010989,0.018858699640592114,0.5163369963369964,0.56,0.06399999999999999,0.03577708763999663,0.04,0.12,0.9978021978021978,0.003276290076922757,0.9926739926739927,1.0,342.0,38.98717737923585,290.0,380.0
two-layer,S2_train_I_internal_val_test_all,CDAN+C-DANN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,cdan+c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.5,0.2,existing run_cdan_hybrid_report.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8901098901098902,0.015323443709415307,0.8754578754578755,0.9084249084249084,0.8849022633744855,0.015191780208551157,0.8703703703703703,0.902906378600823,0.8898075090034488,0.01418182952193078,0.8778828104049343,0.907482993197279,0.9161073825503354,1.2412670766236366e-16,0.9161073825503355,0.9161073825503355,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,260.0,59.58187643906493,200.0,360.0
two-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.5,0.05,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",0.9200000000000002,0.09006170724070862,0.7666666666666667,1.0,0.9333333333333332,0.07505142270059055,0.8055555555555555,1.0,0.9196511121728512,0.09274679752338734,0.7619047619047619,1.0,0.7413919413919414,0.08941031035959557,0.6336996336996337,0.8791208791208791,0.7468878600823045,0.08225223591272698,0.6502057613168725,0.8751286008230453,0.7399079611546185,0.09495685954023962,0.616118985684203,0.879300089708195,0.9317406143344711,1.2412670766236366e-16,0.931740614334471,0.931740614334471,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,76.0,130.8816259067712,10.0,310.0
two-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,cdan,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.2,0.0,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)","0,1,2,3,4",0.9333333333333333,0.062360956446232345,0.8333333333333334,1.0,0.9444444444444444,0.05196746370519361,0.8611111111111112,1.0,0.9304195707673969,0.06635390468500044,0.8257575757575757,1.0,0.7289377289377289,0.0530187356268503,0.6556776556776557,0.8021978021978022,0.7345679012345678,0.04936211552695394,0.6671810699588477,0.8028549382716049,0.7326212695156503,0.055575403418549,0.6538916256157635,0.8076292414258606,0.9317406143344711,1.2412670766236366e-16,0.931740614334471,0.931740614334471,0.5046336996336996,0.010361267368268269,0.5,0.5231684981684982,0.01,0.022360679774997897,0.0,0.05,0.9992673992673993,0.0016381450384613785,0.9963369963369964,1.0,86.0,153.23185047502363,10.0,360.0
two-layer,S3_train_I_internal_20_10_test_all,CDAN+C-DANN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,cdan+c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.5,0.5,existing run_cdan_hybrid_report.py,"0,1,2,3,4",0.8800000000000001,0.11205157542647742,0.7,1.0,0.9,0.09337631285539782,0.75,1.0,0.8756806021336914,0.11442909838191098,0.6937799043062202,1.0,0.7487179487179488,0.12954817200810267,0.5604395604395604,0.8974358974358975,0.754732510288066,0.11965705026971643,0.5820473251028807,0.8931327160493828,0.7409282332281749,0.14617109713055979,0.5158320771308335,0.8982870194137801,0.9317406143344711,1.2412670766236366e-16,0.931740614334471,0.931740614334471,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,68.0,118.61703081766969,10.0,280.0
two-layer,S4_train_I_val_D1_2,C-DANN-UDA,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,c-dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.2,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8922448979591836,0.011027964151923513,0.8775510204081632,0.9061224489795918,0.889115429542317,0.010805912154780358,0.8747477965381757,0.9025698205373262,0.8933970498416007,0.010637041688153586,0.8800569800569801,0.9062233589087808,0.9009900990099011,1.2412670766236366e-16,0.900990099009901,0.900990099009901,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,400.0,0.0,400.0,400.0
