architecture,split,variant,description,method,mode,label_usage,selection_usage,final_training,alignment_strength,centroid_strength,algorithm_provenance,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,domain_accuracy,domain_accuracy_std,domain_accuracy_min,domain_accuracy_max,domain_balanced_accuracy,domain_balanced_accuracy_std,domain_balanced_accuracy_min,domain_balanced_accuracy_max,domain_source_recall,domain_source_recall_std,domain_source_recall_min,domain_source_recall_max,domain_target_recall,domain_target_recall_std,domain_target_recall_min,domain_target_recall_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
two-layer,S1_train_I_test_all,MLP Source-only,Train Period I only; no validation; test every current later-day sample.,source-only,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7794871794871794,0.01646315388589321,0.7582417582417582,0.7948717948717948,0.7823559670781892,0.01619109387523679,0.7605452674897119,0.7962962962962963,0.781739788691963,0.013626652350278856,0.7636554764929362,0.7968166582786399,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0
two-layer,S1_train_I_test_all,DANN-UDA,Train Period I only; no validation; test every current later-day sample.,dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.693040293040293,0.02157754794875186,0.6703296703296703,0.7252747252747253,0.6988683127572016,0.02076825652462103,0.6759259259259259,0.7292952674897119,0.7006574312306842,0.021037376129908157,0.6774522254475084,0.7328643748287663,0.9029702970297031,0.001807665206287638,0.900990099009901,0.9042904290429042,0.51,0.009128709291752798,0.5,0.5166666666666667,0.02,0.018257418583505537,0.0,0.03333333333333333,1.0,0.0,1.0,1.0,400.0,0.0,400.0,400.0
two-layer,S1_train_I_test_all,DEEP-CORAL-UDA,Train Period I only; no validation; test every current later-day sample.,deep-coral,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8578754578754578,0.012258754967532245,0.8388278388278388,0.8717948717948718,0.8562757201646092,0.013932461467832108,0.8350051440329218,0.8733281893004116,0.859157965335149,0.012188237739828287,0.8402402302271951,0.8729814918641198,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0
two-layer,S1_train_I_test_all,MK-MMD-UDA,Train Period I only; no validation; test every current later-day sample.,mk-mmd,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.1,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8476190476190476,0.02844434968251603,0.8168498168498168,0.8754578754578755,0.8455246913580247,0.026364642887620887,0.8161008230452675,0.871656378600823,0.851069095065087,0.02587833478457333,0.8227803010063229,0.8770611505471754,,,,,,,,,,,,,,,,,400.0,0.0,400.0,400.0
two-layer,S2_train_I_internal_val_test_all,MLP Source-only,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,source-only,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",0.8866666666666667,0.09309493362512625,0.8,1.0,0.9055555555555557,0.07757911135427188,0.8333333333333334,1.0,0.8839027542505804,0.09733669435535398,0.7936507936507936,1.0,0.7003663003663003,0.03208004988397264,0.6593406593406593,0.7435897435897436,0.7097993827160494,0.028740859812261335,0.6725823045267489,0.7485853909465021,0.699458989623585,0.03808338868795718,0.6529964916058755,0.7491410665323709,,,,,,,,,,,,,,,,,42.0,60.58052492344384,10.0,150.0
two-layer,S2_train_I_internal_val_test_all,DANN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.2,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",0.9199999999999999,0.1095445115010332,0.8,1.0,0.9333333333333333,0.09128709291752767,0.8333333333333334,1.0,0.917494270435447,0.11297562301481653,0.7937356760886173,1.0,0.6959706959706959,0.015323443709415307,0.6776556776556777,0.7106227106227107,0.7022890946502056,0.015831487356860453,0.6844135802469135,0.7224794238683128,0.702694789933651,0.016284678289476984,0.6796301131127311,0.7190543040941364,0.9167785234899328,0.0028075839816579743,0.912751677852349,0.9194630872483222,0.5221684981684982,0.028988993400663573,0.5,0.5708424908424908,0.048,0.06572670690061994,0.0,0.16,0.9963369963369964,0.008190725192306942,0.9816849816849816,1.0,150.0,158.74507866387543,10.0,390.0
two-layer,S2_train_I_internal_val_test_all,DEEP-CORAL-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,deep-coral,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.1,0.0,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,"0,1,2,3,4",0.96,0.08944271909999157,0.8,1.0,0.9666666666666668,0.07453559924999298,0.8333333333333334,1.0,0.9600527009222661,0.08932487625532758,0.8002635046113307,1.0,0.8146520146520146,0.07571881338459859,0.6886446886446886,0.8791208791208791,0.8162037037037037,0.07102302238526363,0.6984310699588477,0.878343621399177,0.8167981006394509,0.07330078693580526,0.6953883733879865,0.8798730224369598,,,,,,,,,,,,,,,,,74.0,43.93176527297759,10.0,130.0
two-layer,S2_train_I_internal_val_test_all,MK-MMD-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,mk-mmd,uda,source train + source validation labels,source validation labels,source train+source validation refit,1.0,0.0,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8124542124542125,0.03459551341572922,0.7619047619047619,0.8461538461538461,0.8111625514403291,0.0318895814903169,0.7646604938271605,0.8425925925925926,0.8174344349396249,0.032945545328563544,0.7678571428571428,0.8482516317745611,,,,,,,,,,,,,,,,,138.0,87.00574693662483,40.0,250.0
two-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,source-only,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.0,0.0,shared PyTorch source-only baseline,"0,1,2,3,4",0.9266666666666667,0.08944271909999157,0.8,1.0,0.9388888888888889,0.07453559924999298,0.8333333333333334,1.0,0.9219751263229524,0.09241813380411958,0.7954545454545454,1.0,0.7047619047619047,0.022371328182567703,0.6776556776556777,0.7252747252747253,0.7122942386831275,0.019939846869613313,0.686085390946502,0.7318672839506172,0.7050383427861968,0.027014196577073574,0.6743037325481134,0.7301994301994301,,,,,,,,,,,,,,,,,18.0,4.47213595499958,10.0,20.0
two-layer,S3_train_I_internal_20_10_test_all,DANN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.5,0.0,existing run_dann_multi_splits.py,"0,1,2,3,4",0.9666666666666668,0.033333333333333326,0.9333333333333333,1.0,0.9722222222222221,0.02777777777777779,0.9444444444444443,1.0,0.9628065171543433,0.03666665451960379,0.9220779220779222,1.0,0.7223443223443224,0.022038987482038575,0.6996336996336996,0.7509157509157509,0.7281893004115226,0.0200702999521266,0.710133744855967,0.7536008230452674,0.7250515108086256,0.025792999681713016,0.6916555043608966,0.7562889151607273,0.9317406143344711,1.2412670766236366e-16,0.931740614334471,0.931740614334471,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,118.0,156.90761613127643,20.0,380.0
