architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,0,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8974358974358975,0.893775720164609,0.898240863076233,0.900990099009901,0.5148351648351649,0.03333333333333333,0.9963369963369964
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,1,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8571428571428571,0.8555812757201647,0.8580337595615705,0.900990099009901,0.5,0.0,1.0
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,2,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.9267399267399268,0.9221965020576132,0.9250946369042422,0.9075907590759076,0.5481684981684982,0.1,0.9963369963369964
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,3,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8937728937728938,0.8890174897119342,0.8924336267824944,0.9042904290429042,0.5166666666666667,0.03333333333333333,1.0
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,4,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8754578754578755,0.8729423868312757,0.8753915953233662,0.9042904290429042,0.5166666666666667,0.03333333333333333,1.0
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,0,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.7655677655677655,0.7662037037037037,0.7614217453265152,0.9141914191419142,0.5963369963369963,0.2,0.9926739926739927
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,1,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.7728937728937729,0.7744341563786009,0.7792821093830465,0.9207920792079208,0.6296703296703297,0.26666666666666666,0.9926739926739927
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,2,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.8131868131868132,0.8106995884773663,0.8181314778575053,0.9075907590759076,0.5333333333333333,0.06666666666666667,1.0
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,3,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.8058608058608059,0.8050411522633745,0.8091437968958782,0.9240924092409241,0.6315018315018315,0.26666666666666666,0.9963369963369964
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,4,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.7765567765567766,0.774048353909465,0.7758909808649198,0.900990099009901,0.5593406593406594,0.13333333333333333,0.9853479853479854
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,0,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.9010989010989011,0.8978909465020576,0.9009614922658399,0.900990099009901,0.5,0.0,1.0
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,1,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8534798534798534,0.8514660493827161,0.8528600346234013,0.900990099009901,0.5,0.0,1.0
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,2,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8974358974358975,0.8918467078189299,0.8973692554705271,0.8976897689768977,0.4981684981684982,0.0,0.9963369963369964
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,3,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8534798534798534,0.8443930041152262,0.8477402260063892,0.900990099009901,0.5,0.0,1.0
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,4,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8864468864468864,0.8820730452674898,0.8870216302344468,0.900990099009901,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,0,0.5,0.2,10,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6703296703296703,0.6810699588477366,0.658774604648763,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,1,0.5,0.2,130,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8498168498168498,0.8492798353909464,0.8506183381493347,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,2,0.5,0.2,320,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8681318681318682,0.8653549382716049,0.8699502967624168,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,3,0.5,0.2,110,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8827838827838828,0.8798868312757202,0.8840607806210997,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,4,0.5,0.2,80,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8681318681318682,0.8653549382716049,0.8691282262140331,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN-UDA,cdan,uda,0,0.5,0.0,380,source train + source validation labels,source validation labels,source train+source validation refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.8131868131868132,0.8164866255144032,0.8108320288171825,0.9328859060402684,0.6363369963369964,0.28,0.9926739926739927
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN-UDA,cdan,uda,1,0.5,0.0,170,source train + source validation labels,source validation labels,source train+source validation refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.7875457875457875,0.7870370370370371,0.7920072523985797,0.9328859060402684,0.6181684981684982,0.24,0.9963369963369964
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN-UDA,cdan,uda,2,0.5,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",0.9,0.9166666666666666,0.8943001443001443,0.7106227106227107,0.7173353909465021,0.7146948097678215,0.9093959731543624,0.5326739926739927,0.08,0.9853479853479854
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN-UDA,cdan,uda,3,0.5,0.0,340,source train + source validation labels,source validation labels,source train+source validation refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.8388278388278388,0.8369341563786009,0.8399755362120954,0.9362416107382551,0.6745054945054945,0.36,0.989010989010989
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN-UDA,cdan,uda,4,0.5,0.0,400,source train + source validation labels,source validation labels,source train+source validation refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.8278388278388278,0.8271604938271605,0.8316630165751963,0.9228187919463087,0.6126739926739927,0.24,0.9853479853479854
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,0,0.2,0.05,180,source train + source validation labels,source validation labels,source train+source validation refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8351648351648352,0.8341049382716049,0.8360912482911503,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,1,0.2,0.05,340,source train + source validation labels,source validation labels,source train+source validation refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8681318681318682,0.8647119341563786,0.8695457007971519,0.9093959731543624,0.49633699633699635,0.0,0.9926739926739927
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,2,0.2,0.05,370,source train + source validation labels,source validation labels,source train+source validation refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8717948717948718,0.8675411522633745,0.8747958599885578,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,3,0.2,0.05,290,source train + source validation labels,source validation labels,source train+source validation refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8717948717948718,0.8688271604938271,0.871284417625881,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,4,0.2,0.05,180,source train + source validation labels,source validation labels,source train+source validation refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8717948717948718,0.8688271604938271,0.8721002579765115,0.9161073825503355,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,0,0.2,0.5,10,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,0.8,0.8333333333333334,0.7936507936507936,0.6227106227106227,0.6352880658436214,0.597975384259334,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,1,0.2,0.5,10,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.684981684981685,0.6975308641975309,0.6662715813158291,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,2,0.2,0.5,330,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.9010989010989011,0.8959619341563786,0.9009629008836239,0.931740614334471,0.5,0.0,1.0
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,3,0.2,0.5,20,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,0.9,0.9166666666666666,0.8943001443001443,0.6996336996336996,0.7049897119341564,0.6916457807819335,0.931740614334471,0.5,0.0,1.0
