architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,0,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8827838827838828,0.8792438271604938,0.8847200028408082,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,1,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8901098901098901,0.8868312757201645,0.8919123142831099,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,2,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.9120879120879121,0.9083076131687243,0.9119451835856803,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,3,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8901098901098901,0.8868312757201645,0.8893186720511199,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,C-DANN-UDA,c-dann,uda,4,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8974358974358975,0.893775720164609,0.898240863076233,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,0,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.6959706959706959,0.7021604938271605,0.7078877902554694,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,1,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.7032967032967034,0.7116769547325102,0.7027274197186174,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,2,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.8388278388278388,0.8401491769547325,0.8410583494734967,0.900990099009901,0.5296703296703297,0.06666666666666667,0.9926739926739927
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,3,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.8131868131868132,0.8152006172839507,0.8166803660474545,0.8976897689768977,0.4981684981684982,0.0,0.9963369963369964
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN-UDA,cdan,uda,4,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.7692307692307693,0.7696759259259259,0.7741820768136559,0.9108910891089109,0.55,0.1,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,0,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.9010989010989011,0.8978909465020576,0.9017383928056226,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,1,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8901098901098901,0.8861882716049383,0.8905751008537387,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,2,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8754578754578755,0.8703703703703703,0.8767894992741474,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,3,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.8791208791208791,0.8757716049382717,0.8790191669125703,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,CDAN+C-DANN-UDA,cdan+c-dann,uda,4,0.2,0.2,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_cdan_hybrid_report.py,1.0,1.0,1.0,0.9010989010989011,0.8972479423868313,0.9013827450913544,0.900990099009901,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,0,0.2,0.2,330,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8205128205128205,0.8208590534979424,0.8249286295011319,0.9161073825503355,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,1,0.2,0.2,350,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8901098901098901,0.8855452674897121,0.8916517419373194,0.9161073825503355,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,2,0.2,0.2,10,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,0.8,0.8333333333333334,0.7954545454545454,0.6959706959706959,0.7079475308641975,0.7006373859919052,0.9161073825503355,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,3,0.2,0.2,130,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8754578754578755,0.8710133744855967,0.8771797973006544,0.9161073825503355,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,C-DANN-UDA,c-dann,uda,4,0.2,0.2,80,source train + source validation labels,source validation labels,source train+source validation refit,existing class-conditional centroid alignment plus DANN domain loss,1.0,1.0,1.0,0.8388278388278388,0.8388631687242798,0.8389857105933611,0.9161073825503355,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN-UDA,cdan,uda,0,0.05,0.0,340,source train + source validation labels,source validation labels,source train+source validation refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.7655677655677655,0.7707047325102881,0.7667784353774691,0.9228187919463087,0.54,0.08,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,CDAN-UDA,cdan,uda,1,0.05,0.0,380,source train + source validation labels,source validation labels,source train+source validation refit,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)",1.0,1.0,1.0,0.6996336996336996,0.7017746913580246,0.7020578960463353,0.9194630872483222,0.52,0.04,1.0
