architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,0,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7582417582417582,0.7605452674897119,0.7636554764929362,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,1,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7875457875457875,0.788966049382716,0.7879526500983571,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,2,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7948717948717948,0.7959104938271605,0.7968166582786399,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,3,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7912087912087912,0.7962962962962963,0.7886415272834423,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MLP Source-only,source-only,uda,4,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7655677655677655,0.7700617283950617,0.77163263130644,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,0,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7032967032967034,0.7091049382716049,0.7081863872561547,0.9042904290429042,0.5166666666666667,0.03333333333333333,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,1,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.6703296703296703,0.6759259259259259,0.6774522254475084,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,2,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.6813186813186813,0.6876286008230452,0.6931663220323014,0.9042904290429042,0.5166666666666667,0.03333333333333333,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,3,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.684981684981685,0.6923868312757202,0.6916178465886901,0.9042904290429042,0.5166666666666667,0.03333333333333333,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DANN-UDA,dann,uda,4,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7252747252747253,0.7292952674897119,0.7328643748287663,0.900990099009901,0.5,0.0,1.0
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8571428571428571,0.8549382716049383,0.8592404837219526,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8644688644688645,0.8618827160493828,0.865705879265578,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8571428571428571,0.856224279835391,0.8576217415968997,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8717948717948718,0.8733281893004116,0.8729814918641198,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8388278388278388,0.8350051440329218,0.8402402302271951,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8168498168498168,0.8161008230452675,0.8235502796453694,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8754578754578755,0.871656378600823,0.8770611505471754,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8168498168498168,0.8180298353909464,0.8227803010063229,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8644688644688645,0.8618827160493826,0.8667322511887194,,,,
two-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8644688644688645,0.8599537037037037,0.8652214929378482,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,0,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8666666666666667,0.8888888888888888,0.8582345191040844,0.684981684981685,0.6956018518518517,0.674775828460039,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,1,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.9666666666666667,0.9722222222222222,0.9721739130434782,0.717948717948718,0.7242798353909464,0.7231272478356253,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,2,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8,0.8333333333333334,0.7954545454545454,0.6959706959706959,0.7079475308641975,0.6972543136840142,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,3,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8,0.8333333333333334,0.7936507936507936,0.6593406593406593,0.6725823045267489,0.6529964916058755,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,4,0.0,0.0,150,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7435897435897436,0.7485853909465021,0.7491410665323709,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,0,0.2,0.0,210,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.6813186813186813,0.6844135802469135,0.6921193499027312,0.912751677852349,0.5708424908424908,0.16,0.9816849816849816
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,1,0.2,0.0,390,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7032967032967034,0.7084619341563787,0.7113205824776601,0.9194630872483222,0.52,0.04,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,2,0.2,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.8,0.8333333333333334,0.7937356760886173,0.7106227106227107,0.7224794238683128,0.7113496000809961,0.9161073825503355,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,3,0.2,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.8,0.8333333333333334,0.7937356760886173,0.6776556776556777,0.688014403292181,0.6796301131127311,0.9161073825503355,0.5,0.0,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,4,0.2,0.0,130,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.706959706959707,0.7080761316872427,0.7190543040941364,0.9194630872483222,0.52,0.04,1.0
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,0,0.1,0.0,130,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8021978021978022,0.8041409465020576,0.8034243994523349,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,1,0.1,0.0,80,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8498168498168498,0.8479938271604938,0.8492359973620989,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,2,0.1,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.8,0.8333333333333334,0.8002635046113307,0.6886446886446886,0.6984310699588477,0.6953883733879865,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,3,0.1,0.0,90,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8534798534798534,0.8521090534979424,0.8560687105578747,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,4,0.1,0.0,60,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8791208791208791,0.878343621399177,0.8798730224369598,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,0,1.0,0.0,250,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8424908424908425,0.838477366255144,0.8456466665907795,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,1,1.0,0.0,40,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.7619047619047619,0.7646604938271605,0.7678571428571428,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,2,1.0,0.0,170,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8461538461538461,0.8425925925925926,0.8482516317745611,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,3,1.0,0.0,60,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.7985347985347986,0.7980967078189302,0.8058736443236995,,,,
two-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,4,1.0,0.0,170,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8131868131868132,0.811985596707819,0.8195430891519414,,,,
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,0,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8666666666666667,0.8888888888888888,0.8545548654244306,0.7252747252747253,0.7318672839506172,0.727442191803234,,,,
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,1,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.9666666666666667,0.9722222222222222,0.959866220735786,0.7252747252747253,0.7299382716049383,0.7301994301994301,,,,
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,2,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8,0.8333333333333334,0.7954545454545454,0.684981684981685,0.6981738683127571,0.6743037325481134,,,,
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,3,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.6776556776556777,0.686085390946502,0.677944203676013,,,,
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,4,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7106227106227107,0.715406378600823,0.7153021557041935,,,,
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,0,0.5,0.0,380,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.706959706959707,0.7106481481481483,0.7141031236289951,0.931740614334471,0.5,0.0,1.0
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,1,0.5,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.9333333333333333,0.9444444444444445,0.9220779220779222,0.7509157509157509,0.7536008230452674,0.7562889151607273,0.931740614334471,0.5,0.0,1.0
two-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,2,0.5,0.0,150,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.6996336996336996,0.710133744855967,0.6916555043608966,0.931740614334471,0.5,0.0,1.0
