split,task,model,partition,random_state,true_label,predicted_label,count
S1_train_I_test_all,three_class_with_air,LDA,train,,air,air,6
S1_train_I_test_all,three_class_with_air,LDA,train,,air,alcohol,0
S1_train_I_test_all,three_class_with_air,LDA,train,,air,acetone,0
S1_train_I_test_all,three_class_with_air,LDA,train,,alcohol,air,0
S1_train_I_test_all,three_class_with_air,LDA,train,,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,LDA,train,,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,LDA,train,,acetone,air,0
S1_train_I_test_all,three_class_with_air,LDA,train,,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,LDA,train,,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,LDA,test,,air,air,63
S1_train_I_test_all,three_class_with_air,LDA,test,,air,alcohol,17
S1_train_I_test_all,three_class_with_air,LDA,test,,air,acetone,1
S1_train_I_test_all,three_class_with_air,LDA,test,,alcohol,air,0
S1_train_I_test_all,three_class_with_air,LDA,test,,alcohol,alcohol,96
S1_train_I_test_all,three_class_with_air,LDA,test,,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,LDA,test,,acetone,air,23
S1_train_I_test_all,three_class_with_air,LDA,test,,acetone,alcohol,66
S1_train_I_test_all,three_class_with_air,LDA,test,,acetone,acetone,7
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,air,air,6
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,air,acetone,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,acetone,air,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,train,,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,air,air,66
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,air,alcohol,15
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,air,acetone,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,alcohol,air,1
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,alcohol,alcohol,94
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,alcohol,acetone,1
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,acetone,air,0
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,acetone,alcohol,32
S1_train_I_test_all,three_class_with_air,Logistic Regression,test,,acetone,acetone,64
S1_train_I_test_all,three_class_with_air,kNN,train,,air,air,3
S1_train_I_test_all,three_class_with_air,kNN,train,,air,alcohol,1
S1_train_I_test_all,three_class_with_air,kNN,train,,air,acetone,2
S1_train_I_test_all,three_class_with_air,kNN,train,,alcohol,air,1
S1_train_I_test_all,three_class_with_air,kNN,train,,alcohol,alcohol,10
S1_train_I_test_all,three_class_with_air,kNN,train,,alcohol,acetone,1
S1_train_I_test_all,three_class_with_air,kNN,train,,acetone,air,1
S1_train_I_test_all,three_class_with_air,kNN,train,,acetone,alcohol,2
S1_train_I_test_all,three_class_with_air,kNN,train,,acetone,acetone,9
S1_train_I_test_all,three_class_with_air,kNN,test,,air,air,66
S1_train_I_test_all,three_class_with_air,kNN,test,,air,alcohol,12
S1_train_I_test_all,three_class_with_air,kNN,test,,air,acetone,3
S1_train_I_test_all,three_class_with_air,kNN,test,,alcohol,air,17
S1_train_I_test_all,three_class_with_air,kNN,test,,alcohol,alcohol,47
S1_train_I_test_all,three_class_with_air,kNN,test,,alcohol,acetone,32
S1_train_I_test_all,three_class_with_air,kNN,test,,acetone,air,16
S1_train_I_test_all,three_class_with_air,kNN,test,,acetone,alcohol,20
S1_train_I_test_all,three_class_with_air,kNN,test,,acetone,acetone,60
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,air,air,6
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,air,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,air,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,alcohol,12
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,alcohol,acetone,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,acetone,air,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,acetone,alcohol,0
S1_train_I_test_all,three_class_with_air,Random Forest,train,0.0,acetone,acetone,12
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,air,air,81
S1_train_I_test_all,three_class_with_air,Random Forest,test,0.0,air,alcohol,0
