architecture,split,variant,description,method,mode,label_usage,selection_usage,final_training,alignment_strength,centroid_strength,algorithm_provenance,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,domain_accuracy,domain_accuracy_std,domain_accuracy_min,domain_accuracy_max,domain_balanced_accuracy,domain_balanced_accuracy_std,domain_balanced_accuracy_min,domain_balanced_accuracy_max,domain_source_recall,domain_source_recall_std,domain_source_recall_min,domain_source_recall_max,domain_target_recall,domain_target_recall_std,domain_target_recall_min,domain_target_recall_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
one-layer,S1_train_I_test_all,C-DANN-UDA,Train Period I only; no validation; test every current later-day sample.,c-dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.2,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8901098901098902,0.026030531874637206,0.8571428571428571,0.9267399267399268,0.8867026748971194,0.02486506142093864,0.8555812757201647,0.9221965020576132,0.8898388963295811,0.02520210381098652,0.8580337595615705,0.9250946369042422,0.9036303630363036,0.0027612542129837278,0.900990099009901,0.9075907590759076,0.5192673992673993,0.017604534319343633,0.5,0.5481684981684982,0.039999999999999994,0.03651483716701107,0.0,0.1,0.9985347985347985,0.002006309734451151,0.9963369963369964,1.0,400.0,0.0,400.0,400.0
one-layer,S1_train_I_test_all,CDAN-UDA,Train Period I only; no validation; test every current later-day sample.,cdan,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.0,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)","0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7868131868131867,0.021264359375384616,0.7655677655677655,0.8131868131868132,0.7860853909465021,0.020255262417445668,0.7662037037037037,0.8106995884773663,0.7887740220655731,0.023879929527602425,0.7614217453265152,0.8181314778575053,0.9135313531353135,0.009450706972459632,0.900990099009901,0.9240924092409241,0.5900366300366301,0.043264864985091675,0.5333333333333333,0.6315018315018315,0.18666666666666668,0.08692269873603532,0.06666666666666667,0.26666666666666666,0.9934065934065934,0.0054331124447587085,0.9853479853479854,1.0,400.0,0.0,400.0,400.0
one-layer,S1_train_I_test_all,CDAN+C-DANN-UDA,Train Period I only; no validation; test every current later-day sample.,cdan+c-dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.2,existing run_cdan_hybrid_report.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8783882783882785,0.023368700231115893,0.8534798534798534,0.9010989010989011,0.8735339506172839,0.024175005120149008,0.8443930041152262,0.8978909465020576,0.8771905277201208,0.025140522822056508,0.8477402260063892,0.9009614922658399,0.9003300330033003,0.0014759524603959186,0.8976897689768977,0.900990099009901,0.49963369963369964,0.0008190725192306893,0.4981684981684982,0.5,0.0,0.0,0.0,0.0,0.9992673992673993,0.0016381450384613785,0.9963369963369964,1.0,400.0,0.0,400.0,400.0
one-layer,S2_train_I_internal_val_test_all,C-DANN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.5,0.2,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",0.9666666666666668,0.07453559924999298,0.8333333333333334,1.0,0.9722222222222221,0.062112999374994135,0.8611111111111112,1.0,0.9648077412783295,0.07869228278341506,0.8240387063916476,1.0,0.8278388278388278,0.08882311833686553,0.6703296703296703,0.8827838827838828,0.8281893004115226,0.08295196697551611,0.6810699588477366,0.8798868312757202,0.8265064492791294,0.09451433713656307,0.658774604648763,0.8840607806210997,0.9161073825503354,1.2412670766236366e-16,0.9161073825503355,0.9161073825503355,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,130.0,115.54220008291342,10.0,320.0
one-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,cdan,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.5,0.0,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)","0,1,2,3,4",0.9800000000000001,0.04472135954999579,0.9,1.0,0.9833333333333332,0.03726779962499651,0.9166666666666666,1.0,0.9788600288600289,0.0472704125113592,0.8943001443001443,1.0,0.7956043956043957,0.05124278978494811,0.7106227106227107,0.8388278388278388,0.7969907407407408,0.04829552501393361,0.7173353909465021,0.8369341563786009,0.797834528754175,0.05008826241887333,0.7146948097678215,0.8399755362120954,0.9268456375838925,0.010976796801205477,0.9093959731543624,0.9362416107382551,0.6148717948717949,0.051935321023413715,0.5326739926739927,0.6745054945054945,0.24,0.1019803902718557,0.08,0.36,0.9897435897435898,0.004775972458023902,0.9853479853479854,0.9963369963369964,262.0,162.84962388657826,20.0,400.0
one-layer,S2_train_I_internal_val_test_all,CDAN+C-DANN-UDA,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,cdan+c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.2,0.05,existing run_cdan_hybrid_report.py,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8637362637362639,0.016050477875609256,0.8351648351648352,0.8717948717948718,0.8608024691358025,0.015018682233045812,0.8341049382716049,0.8688271604938271,0.8647634969358506,0.01613974979475605,0.8360912482911503,0.8747958599885578,0.914765100671141,0.0030014335268453507,0.9093959731543624,0.9161073825503355,0.49926739926739927,0.0016381450384613783,0.49633699633699635,0.5,0.0,0.0,0.0,0.0,0.9985347985347985,0.0032762900769227566,0.9926739926739927,1.0,272.0,88.7130204648675,180.0,370.0
one-layer,S3_train_I_internal_20_10_test_all,C-DANN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.2,0.5,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",0.8666666666666666,0.08498365855987973,0.8,1.0,0.888888888888889,0.07081971546656643,0.8333333333333334,1.0,0.8607817672523554,0.08818144979092535,0.791919191919192,1.0,0.7186813186813188,0.10620815796648748,0.6227106227106227,0.9010989010989011,0.726388888888889,0.09892064419315334,0.6352880658436214,0.8959619341563786,0.7076446994277408,0.11408051852199785,0.597975384259334,0.9009629008836239,0.9317406143344711,1.2412670766236366e-16,0.931740614334471,0.931740614334471,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,76.0,142.0563268566381,10.0,330.0
one-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,cdan,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.5,0.0,"existing run_cdan_multi_splits.py official-style multilinear condition T(h,g)","0,1,2,3,4",0.8666666666666668,0.08498365855987973,0.8,1.0,0.888888888888889,0.07081971546656643,0.8333333333333334,1.0,0.8607611002240159,0.08820163368583188,0.7918158567774937,1.0,0.6974358974358974,0.07918360015671676,0.6153846153846154,0.8241758241758241,0.7074074074074075,0.07534863683994547,0.6257716049382717,0.8256172839506172,0.6941530348212271,0.08378306668278632,0.6061388724728406,0.82742394887181,0.9310580204778157,0.001526326264504949,0.9283276450511946,0.931740614334471,0.5042673992673993,0.00954219484903758,0.5,0.5213369963369964,0.01,0.022360679774997897,0.0,0.05,0.9985347985347985,0.003276290076922757,0.9926739926739927,1.0,60.0,106.30145812734649,10.0,250.0
one-layer,S3_train_I_internal_20_10_test_all,CDAN+C-DANN-UDA,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,cdan+c-dann,uda,source train + source validation labels,source validation labels,source train+source validation refit,0.2,0.5,existing run_cdan_hybrid_report.py,"0,1,2,3,4",0.9066666666666666,0.0862811940369652,0.8333333333333334,1.0,0.9222222222222222,0.07190099503080434,0.8611111111111112,1.0,0.9012027841439606,0.09124464391047743,0.8240387063916476,1.0,0.7736263736263738,0.11153831116875168,0.684981684981685,0.9010989010989011,0.7780864197530863,0.10350794969321672,0.6904578189300411,0.8966049382716049,0.7687361512724652,0.11664859150368596,0.6761229410124235,0.9014175269494418,0.9317406143344711,1.2412670766236366e-16,0.931740614334471,0.931740614334471,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,158.0,198.92209530366404,10.0,400.0
one-layer,S4_train_I_val_D1_2,C-DANN-UDA,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,c-dann,uda,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.2,0.2,existing class-conditional centroid alignment plus DANN domain loss,"0,1,2,3,4",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8865306122448979,0.02920578582856869,0.8489795918367347,0.926530612244898,0.8832749283211214,0.02793070303867793,0.8476160135924392,0.9219496654985665,0.8866487318871347,0.028496336328006945,0.8500080933994005,0.9253079359700278,0.9036303630363036,0.0027612542129837278,0.900990099009901,0.9075907590759076,0.5192673992673993,0.017604534319343633,0.5,0.5481684981684982,0.039999999999999994,0.03651483716701107,0.0,0.1,0.9985347985347985,0.002006309734451151,0.9963369963369964,1.0,400.0,0.0,400.0,400.0
